doi,author1,name1,aff1,author2,name2,aff2
https://doi.org/10.1145/3453172,https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
